id_hash,filename,canonical_citation,authors,year,topic,priority,cited_in,notes
halko2011finding,not-local-pdf,"Halko, Martinsson, and Tropp (2011), Finding Structure with Randomness: Probabilistic Algorithms for Constructing Approximate Matrix Decompositions, SIAM Review 53(2), 217-288.","N. Halko; P. G. Martinsson; J. A. Tropp",2011,"Randomized low-rank approximation; range finding",high,"RandomizedLeastSquares; RandomizedCovarianceTransport","Core RandNLA reference. Cited in bibliography, but no local PDF currently stored in literature/."
martinsson2020randnla,not-local-pdf,"Martinsson and Tropp (2020), Randomized Numerical Linear Algebra: Foundations and Algorithms, Acta Numerica 29, 403-572.","Per-Gunnar Martinsson; Joel A. Tropp",2020,"RandNLA foundations and algorithms",high,"Introduction; RandomizedLeastSquares; NumericalExperiments","Main survey framing the thesis. Cited in manuscript; local PDF not currently stored."
bjorck1996leastsquares,not-local-pdf,"Bjork (1996), Numerical Methods for Least Squares Problems.","Ake Bjork",1996,"Least-squares perturbation theory and numerical methods",high,"MathematicalBackground; RandomizedLeastSquares","Classical LS reference for conditioning, QR/SVD, and perturbation results. No local PDF currently stored."
higham2008functions,not-local-pdf,"Higham (2008), Functions of Matrices: Theory and Computation.","Nicholas J. Higham",2008,"Matrix functions; square roots; inverse square roots",high,"RandomizedCovarianceTransport","Central for transport-map perturbation analysis. No local PDF currently stored."
higham2022mixed,not-local-pdf,"Higham and Mary (2022), Mixed Precision Algorithms in Numerical Linear Algebra, Acta Numerica 31, 347-414.","Nicholas J. Higham; Theo Mary",2022,"Mixed-precision numerical linear algebra",high,"MixedPrecision; RandomizedCovarianceTransport","Main mixed-precision survey cited throughout the thesis. No local PDF currently stored."
avron2010blendenpik,not-local-pdf,"Avron, Maymounkov, and Toledo (2010), Blendenpik: Supercharging LAPACK's Least-Squares Solver, SIAM Journal on Scientific Computing 32(3), 1217-1236.","Haim Avron; Petar Maymounkov; Sivan Toledo",2010,"Sketch-and-precondition least squares",high,"RandomizedLeastSquares","Canonical preconditioning reference. No local PDF currently stored."
meier2023sketchprecond,not-local-pdf,"Meier, Nakatsukasa, Townsend, and Webb (2023), Are Sketch-and-Precondition Least Squares Solvers Numerically Stable?, arXiv.","Maike Meier; Yuji Nakatsukasa; Alex Townsend; Marcus Webb",2023,"Stability of sketch-and-precondition solvers",high,"RandomizedLeastSquares; docs/thesis-roadmap.md","Critical for the stability bridge between geometry and finite precision. No local PDF currently stored."
epperly2024forwardstable,not-local-pdf,"Epperly (2024), Fast and Forward Stable Randomized Algorithms for Linear Least-Squares Problems, SIAM Journal on Matrix Analysis and Applications 45(4), 1782-1804.","Ethan N. Epperly",2024,"Forward-stable randomized least squares",high,"RandomizedLeastSquares; docs/thesis-roadmap.md","Important modern stability result. No local PDF currently stored."
carson2026balancing,mixed-precision/2602.04348v1.pdf,"Carson (2026), Balancing Inexactness in Mixed Precision Matrix Computations, arXiv:2602.04348.","Erin Claire Carson",2026,"Balancing inexactness; mixed-precision design principle",high,"MixedPrecision; RandomizedCovarianceTransport","Local PDF available. This is the clearest statement of the thesis-wide balancing principle."
carson2024mixedsketching,not-local-pdf,"Carson and Dauzickaite (2024), Mixed Precision Sketching for Least-Squares Problems and Its Application in GMRES-Based Iterative Refinement, arXiv.","Erin Carson; Ieva Dauzickaite",2024,"Mixed-precision sketching and LSIR",high,"RandomizedLeastSquares; RandomizedCovarianceTransport","Present in bibliography as the sketching-specific Carson-Dauzickaite paper. No local PDF currently stored."
carson2024wlsir,not-local-pdf,"Carson and Oktay (2024), Mixed Precision FGMRES-Based Iterative Refinement for Weighted Least Squares, arXiv.","Erin Carson; Eda Oktay",2024,"Mixed-precision iterative refinement for weighted least squares",medium,"MixedPrecision; docs/thesis-roadmap.md","The user request asked for Carson-Dauzickaite 2024a and 2024b, but the current repo bibliography contains one Carson-Dauzickaite 2024 paper and one Carson-Oktay 2024 paper. This row records the latter explicitly instead of inventing a second Carson-Dauzickaite citation."
cannon2015qdm,not-local-pdf,"Cannon, Sobie, and Murdock (2015), Bias Correction of GCM Precipitation by Quantile Mapping: How Well Do Methods Preserve Changes in Quantiles and Extremes?, Journal of Climate 28, 6938-6959.","Alex J. Cannon; Stephen R. Sobie; Trevor Q. Murdock",2015,"Quantile delta mapping",high,"ClimateApplication; RandomizedCovarianceTransport","Core marginal-correction reference. No local PDF currently stored."
cannon2016mbc,not-local-pdf,"Cannon (2016), Multivariate Bias Correction of Climate Model Output: Matching Marginal Distributions and Intervariable Dependence Structure, Journal of Climate 29, 7045-7064.","Alex J. Cannon",2016,"MBCp and MBCr",high,"ClimateApplication","Main application-side baseline. No local PDF currently stored, but cited from vendored src/MBC/README.md and bibliography."
cannon2018mbcn,not-local-pdf,"Cannon (2018), Multivariate Quantile Mapping Bias Correction: An N-Dimensional Probability Density Function Transform for Climate Model Simulations of Multiple Variables, Climate Dynamics 50, 31-49.","Alex J. Cannon",2018,"MBCn",high,"ClimateApplication","Full-distribution multivariate baseline. No local PDF currently stored."
